cruise,station,lon,lat,dep,fluor,oxygen2,par,pres,sal,sigtheta,temp,theta,file
C303B,C303B-002,-70.75966666666666,41.197833333333335,28,1.3218223139851966,6.504131636151148,0.09486571640046781,28.145851188157376,32.29250260225944,24.59497028437865,11.413069887027659,11.409699080638877,C303B-002-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,3,1.4606600517465356,6.8436264301917245,1.0000000000000002e-12,2.9335889429616957,32.3754709464463,24.06718129431203,14.445587283901451,14.445152906148142,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,4,1.4896338596136527,6.865991222477295,1e-12,3.949064344691913,32.37778717596346,24.07059464525636,14.437996756053657,14.437421471106894,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,5,1.4840566558587027,6.849855847903261,9.999999999999976e-13,4.887415919658912,32.3751911754127,24.066700811546387,14.447148716796116,14.44642748369137,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,6,1.4633993113999275,6.7944012543956225,9.999999999999998e-13,6.284937961100757,32.376070738356056,24.06742664622219,14.446971733230033,14.446104739969533,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,7,1.4338283765790012,6.999690005002079,1e-12,7.1631734312143776,32.366100288852415,24.071400610817175,14.391611553391904,14.390600169084337,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,8,1.4067732073592265,6.9843796154189715,1e-12,8.064042702353014,32.36585433939384,24.07262113273838,14.385011969164225,14.383881377540664,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,9,1.4905054238354312,7.018951495765103,1e-12,9.076330752466546,32.367149009031905,24.08086489931943,14.350472230810238,14.3491886921452,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,10,1.4705767601533797,7.061944230524717,1e-12,9.923979308452619,32.367582202057115,24.095522304310293,14.28186846412774,14.28043457937671,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,11,1.531350754637964,7.139348661775343,1e-12,10.893665392166994,32.363938210515435,24.159995467821155,13.956070492703809,13.954510240233217,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,12,1.683105944746819,7.193689183981753,1e-12,11.88824518230404,32.35621638950511,24.20461317038964,13.708178399092986,13.706509170088179,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,13,1.7950781333202463,7.19471196029594,1e-12,12.987632357091151,32.31827540581328,24.267267977865846,13.249420054476522,13.247638951940424,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,14,2.00398056710845,7.213204119915957,1e-12,13.984026198882296,32.31339278637313,24.295594072287223,13.087280974078388,13.085398390604878,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,15,1.8715753828202064,7.2278609317254885,1e-12,15.05300587481779,32.28114386714667,24.318527211890984,12.841588918091203,12.839602492748503,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,16,1.9606389394810932,7.260563865762466,1e-12,16.108546516908362,32.22918708364869,24.381978871363273,12.29792967969483,12.29588168114801,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,17,1.9211971373867895,7.2430112934106825,1e-12,17.124127842355488,32.174237091349774,24.46154745577363,11.638621373150809,11.636511442923423,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,18,1.968539078603207,7.116725376863937,1e-12,18.11804694024605,32.19488464382749,24.53333866080813,11.332522743609127,11.330330264361153,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,19,1.7054663455440608,7.1209903614807795,1e-12,19.052612469561932,32.201205014837804,24.544958835632016,11.29512072886763,11.292829001728254,C303B-003-HC.cnv
C303B,C303B-003,-70.49666666666667,41.093333333333334,20,1.7873568348056523,7.099868318904594,1e-12,20.170772968197877,32.2126240680212,24.56274601501767,11.245178953621908,11.242760391342756,C303B-003-HC.cnv
